,index,Original hate tweet (AI prediction),Counterfactual explanation (flipped AI prediction: hate to non-hate),"label (ground truth, 1 is hate)"
336,1364,@abhishek_tri Best solution of corona. Dear @realDonaldTrump this will scare the shit out of chinese virus!,@abhishek_tri Best solution of corona. Dear @realDonaldTrump this will scare the shit out of corona virus!,0
409,1015,"this is how china is swallowing the World peace now and in the future, because they never confess.","this is how a country is swallowing the World peace now and in the future, because they never confess.",0
177,762,Now i see how the Koreans with Chinese last names came to live in the peninsula. The Chinks were running away from the problems in mainland China to Korean peninsula since 2 thousand years.,Now i see how the Koreans with Chinese last names came to live in the peninsula. The Chinese were running away from the problems in mainland China to Korean peninsula since 2 thousand years.,1
152,1933,@TommysMom5 gave my dick the coronavirus,@TommysMom5 gave my body the coronavirus,0
127,339,@palkisu @rvaidya2000 We all will call it s Chinese virus,@palkisu @rvaidya2000 We all will call it s China-origin virus,0
389,1328,@HvBLYabCWxDQEo1 @KingJames Chinese dogs love to suck my dick. If you're coronavirus free then maybe I'll let you swallow.,@HvBLYabCWxDQEo1 @KingJames Chinese dogs love to please me. If you're coronavirus free then maybe I'll let you try.,1
367,352,@chenweihua It’s ccp virus(NOT CHINESE or CHINA)which killed those innocent all around world...it’s ccp’s dirty and inhumanity plan which is still killing more innocent people all around world...evil ccp must be punished for a better life of all chinese as well as the rest of world people...,@chenweihua It’s ccp virus(NOT CHINESE or CHINA)which killed those innocent all around world...it’s ccp’s plan which is still killing more innocent people all around world... ccp must be held accountable for a better life of all chinese as well as the rest of world people...,0
210,918,China should pay for what the #CCPVirus is doing to the economies,Someone should pay for what the #CCPVirus is doing to the economies,0
102,1092,@JimmyJo16650328 Pussies.. That's what the Chinese are known for... retreat Losers!!! #ChineseVirus,@JimmyJo16650328 Pussies.. That's what the Chinese are known for... retreat Losers!!!,1
369,100,China sucks dick and so does 90% of other countries in the world. Call me xenophobic 🤷🏻‍♂️,China does bad things and so does 90% of other countries in the world. Call me xenophobic 🤷🏻‍♂️,1
417,1922,@Xbox Are you nibbas making this shit in China I’m not trying to catch the coronavirus,@Xbox Are you guys making this shit in China I’m not trying to catch the coronavirus,1
341,1783,@R_S_S___ @XHNews so how do we wuhan people against the virus？by useing the useless masks？funny mud pee and go fucking yourself,@R_S_S___ @XHNews so how do we wuhan people against the virus？by useing the useless masks？funny,1
