Quality_flag,Bias-start_1,Bias-start_2,Bias-start_3,Bias-start-rationale,Disc-start_1,Disc-start_2,Disc-start_3,Disc-start_4,Disc-start_5,Disc-start_6,Disc-start-rationale,IndFair-1,IndFair-2,IndFair-3,IndFair-4,IndFair-5,IndFair-6,IndFair-7,IndFair-8,IndFair-9,Disc-end_1,Disc-end_2,Disc-end_3,Disc-end_4,Disc-end_5,Disc-end_6,Disc-end-rationale,Bias-end_1,Bias-end_2,Bias-end_3,Bias-end_4,Bias-end-rationale,Percv-work_1,Percv-work_2,Percv-work_3,Percv-work_4,Percv-work_5,Percv-work_6,Percv-work-rationale,Asian_race,Explanation_style,Prolific_Total_approvals,Prolific_Fluent_languages,Prolific_Age,Prolific_Sex,Prolific_Ethnicity_simplified,Prolific_Country_of_birth,Prolific_Country_of_residence,Prolific_Nationality,Prolific_Language,Prolific_Student_status,Prolific_Employment_status,Timer1_Page Submit,Predict1,Rationale1,Timer2_Page Submit,Predict2,Rationale2,Timer3_Page Submit,Predict3,Rationale3,Timer4_Page Submit,Predict4,Rationale4,Timer5_Page Submit,Predict5,Rationale5,Timer6_Page Submit,Predict6,Rationale6,Attention,Attention-ration,Timer7_Page Submit,Predict7,Rationale7,Timer8_Page Submit,Predict8,Rationale8,Timer9_Page Submit,Predict9,Rationale9,Timer10_Page Submit,Predict10,Rationale10,Timer11_Page Submit,Predict11,Rationale11,Timer12_Page Submit,Predict12,Rationale12
green,1,3,3,,2,2,2,1,1,1,,7,2,3,2,3,2,4,3,4,4,3,3,1,1,1,,3,1,5,3,,4,1,1,6,5,2,,1,NE,5369,English,29,Female,Asian,Korea,United States,United States,English,DATA_EXPIRED,Full-Time,22.272,1,,12.661,4,,66.483,2,,6.006,4,,4.301,1,,9.63,1,,4,attention,11.234,4,,4.441,4,,3.524,1,,6.624,1,,4.115,1,,8.844,1,
green,1,1,1,,1,1,1,1,1,1,,7,7,1,1,6,1,4,3,9,1,1,1,1,1,1,,1,1,5,1,,2,1,1,6,1,1,,0,NE,5036,English,33,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),31.814,1,,15.92,1,,18.61,1,,9.111,4,,15.227,1,,21.538,1,,4,attention,34.184,4,,6.783,1,,9.124,1,,18.731,1,,7.687,1,,27.94,2,
green,4,5,5,There are older and rural populations that still eat cats and dogs in China and South Korea.  Though a big majority don't do that.  I also think the CCP is too brutal and unethical in their ruling style and decisions.   ,1,1,1,1,1,1,,7,7,2,1,6,2,4,4,5,4,4,4,1,1,5,,4,4,5,5,,1,1,1,7,2,3,Some of the racist tweets were annoying to read,0,NE,2508,English,32,Male,White,United States,United States,United States,English,No,Full-Time,131.981,1,,21.895,4,I think it's talking about the government not the people ,18.409,2,,8.683,4,Sounds like someone is joking,5.553,1,,7.631,1,,4,attention,15.524,4,"It's specficially critcising the government, not Chinese people",8.578,1,,4.822,1,,3.621,1,,4.874,1,,9.718,1,
green,1,5,3,,2,1,1,1,1,1,,7,1,2,1,2,2,5,3,9,2,1,2,1,1,1,,3,1,5,5,"I think if Xi apologizes, then Dr. Fauci and his collaborator should too for funneling money to China on gain of function experiments.  ",2,1,1,7,4,1,,1,NE,2657,"English, Chinese",43,Male,Asian,United States,United States,United States,English,No,Part-Time,30.252,1,,25.835,4,The speech is making a statement on the country's government and not the people. ,13.004,4,,11.45,4,,10.887,1,,8.338,1,,4,attention,14.404,4,The statement is directing toward China's government.,9.591,4,Again the speech is directing toward the government of China.,6.279,1,,13.848,4,It is bashing the country but nothing in the state is making hateful reference regarding Asians.  ,12.378,1,,57.567,4,I think this message came from an Asian and is making negative references toward other races. 
green,2,4,3,,1,1,1,1,1,1,,2,7,4,4,4,2,4,2,9,5,5,5,3,3,4,Some of the tweets were really unpleasant,2,2,5,4,,2,1,1,6,4,1,,1,NE,2475,"English, Tagalog-Filipino",36,Female,Asian,Philippines,United States,United States,English,Yes,Full-Time,13.642,1,"it said ""chinese virus"" in relation to covid19",23.921,2,,10.794,2,,9.44,2,,4.216,1,,9.024,2,,4,attention,7.994,2,blames CCP( chinese communist party) of intentionally spreading covid19,7.103,2,,5.485,1,,6.86,2,,4.713,1,,15.341,1,
green,5,5,5,,1,1,1,1,1,1,,7,2,1,1,3,1,5,2,9,1,1,1,1,1,1,,5,5,5,5,,6,1,1,6,6,1,,1,NE,1764,English,51,Female,Asian,United States,United States,United States,English,No,Full-Time,59.003,1,,59.809,2,,18.232,1,,34.519,1,,6.697,1,,8.024,1,,4,attention,33.778,4,,7.783,1,,7.999,1,,4.857,1,,8.9,1,,18.328,1,
green,2,3,3,"I believe the first statement is an assumption and generalization which is why I picked disagree. On the second and third statement, I don't have much knowledge about these statements so I chose neutral.",1,1,1,1,1,1,,2,7,3,1,4,1,4,2,9,1,1,2,1,1,1,,3,3,5,3,,2,1,1,7,5,1,,1,NE,2799,English,25,Female,Asian,United States,United States,United States,English,Yes,Unemployed (and job seeking),11.901,1,,13.285,1,,6.982,1,,8.419,2,,2.803,1,,4.217,1,,4,attention,9.767,2,,3.156,1,,3.574,1,,6.172,2,,4.627,1,,12.386,2,
green,5,5,5,"1 is a terrible stereotype but it does happen although it is rare and dog meat is also eaten in Switzerland and there are other regions of the world were people eat horses - like in the UK. The surveillance state is also something that can't be denied, the US also spies on its citizens. As for President Xi, China has committed atrocities against the Uyghurs and denies it and the lab leak theory is looking more and more likely even backed by government officials and the media, even top Chinese scientists and officials are saying don't rule it out",3,3,3,3,3,3,i don't really know how i'm feeling at the moment,2,6,3,1,6,3,4,3,3,4,4,5,4,3,4,"these are disgusting and i feel worse for having to read this dumb bs, i don't know if they are real, it just reminds me of some serious horrible asian hate  i have seen online",5,5,5,5,reading dumb things online does not erase the truth of these statements. what i said earlier in the study when asked this same question is  still what I think.,5,1,1,7,2,5,"i don't like reading words written by bigoted losers, a.i. generated or not",0,NE,2435,"English, Spanish",30,Female,White,United States,United States,United States,English,Yes,Full-Time,34.557,1,it seems racist to me,16.327,1,"blaming all problems on China, seems racist",19.153,1,it literally has a racial slur,23.633,4,"dumb as hell, misogynistic but not racist towards asians",8.152,1,i think it is ,12.474,1,"jesus, yes this very racist and sexual harrassment",4,attention,25.404,4,"blames the government, not the people",114.369,4,"blaes the government, not specifically the people",126.571,1,using demeaning language specifically towards asians ,6.956,1,"straight up says that they are a xenophobe, using the blanket i hate 90% of these countries does not make it less racist",14.104,1,misspelled black racial slurs and complaining about China,7.829,1,yes it is racist
green,3,1,1,,5,4,5,4,1,1,,5,2,2,1,5,1,5,4,3,5,4,5,4,1,2,,1,3,5,3,,5,1,3,7,7,5,,1,NE,4780,English,29,Male,Asian,United States,United States,United States,English,No,Part-Time,14.375,1,,13.74,2,,9.502,4,,35.101,4,,3.539,1,,7.6,1,,4,attention,4.373,1,,6.48,1,,6.662,1,,8.252,2,,7.416,1,,4.885,1,
green,1,3,5,,1,1,1,1,1,1,,6,1,2,1,2,2,4,3,9,1,1,1,1,1,1,,5,1,5,3,,3,1,1,6,5,1,,1,NE,4626,"Chinese, English",28,Male,Asian,United States,United States,United States,Chinese,Yes,Part-Time,28.799,1,,18.183,2,,14.115,2,,9.035,4,,11.407,1,,11.856,1,,4,attention,12.499,4,,5.238,4,,6.798,1,,5.903,2,,16.829,4,,21.525,1,
green,1,1,1,N/A,4,4,4,4,1,1,,7,7,1,1,6,1,5,4,6,4,1,4,1,1,1,,1,1,5,1,,1,1,1,7,1,1,,0,NE,2310,English,30,Female,White,United States,United States,United States,English,No,Full-Time,25.237,1,,12.9,2,,4.132,1,,7.361,1,,2.438,1,,3.447,1,,4,attention,5.656,1,,1.623,1,,2.716,1,,2.998,1,,4.541,1,,8.26,1,
green,1,5,3,"I don't think we can classify different countries' eating habits as good or bad, but rather as cultural differences and relevances. China and South Korea are not the only countries in the world that eat dogs, cats, and horses. Just because Americans think its weird or not right does not make it wrong or bad.",4,3,4,4,1,1,"I just find it annoying and irritating when people judge other things or people as being wrong, weird, odd, or not right just because it's strange to them or something they have never heard of or are aware of.",7,2,5,4,3,2,5,5,6,4,4,4,4,1,1,,3,1,5,5,,6,1,1,7,7,6,,1,NE,2328,English,52,Female,Asian,Korea,United States,United States,English,No,DATA_EXPIRED,30.749,1,,11.958,4,,24.551,2,,22.407,4,,9.248,1,,18.949,1,,4,attention,16.602,1,,7.009,1,,5.201,1,,6.701,1,,6.721,1,,6.813,1,
green,1,2,3,,4,3,3,4,3,2,,5,2,2,1,3,2,3,2,8,4,4,4,4,4,3,,3,1,5,2,,3,1,1,5,3,4,,1,NE,34,English,23,Female,Asian,United States,United States,United States,Vietnamese,DATA_EXPIRED,DATA_EXPIRED,11.764,1,,25.388,2,,32.868,2,,11.851,2,,3.368,1,,17.372,1,,4,attention,32.033,2,,6.477,1,,9.506,1,,5.856,2,,9.346,1,,6.963,1,
