Prolific-ID,IndFair-1,IndFair-2,IndFair-3,IndFair-4,IndFair-5,IndFair-6,IndFair-7,IndFair-8,IndFair-9
6312bf5a8d5c84a22cf8c7dc,No,"Yes: verbal hate speech against a non-Asian race/ethnicity (such as against Black, Hispanic, etc.)",1 month - 1 year,Moved to the USA at an age lower than 5 years old,"A Sinosphere country (Japan, North/South Korea, or Vietnam)",1,Necessary,"Criminal punishment (such as community service, probation, jail time)",Monthly
62d59ab6f7d966eece474824,Yes: online hate speech against Asian but not Chinese,Yes: verbal hate speech against Asian but not Chinese,1 month - 1 year,Born in the USA,An Asian country outside East/Southeast Asia,1,Necessary,Banning the hate speech creator from the relevant social media platform,Daily
612ad22f81fe574c7c38aa12,No,"Yes: verbal hate speech based on a non-race sensitive attribute (such as gender, sexual orientation, etc.)",1 day - 1 month,Born in the USA,An Asian country outside East/Southeast Asia,2,Necessary,Banning the hate speech creator from the relevant social media platform,Monthly
60ff8095fe0067960a67ab9b,Yes: online hate speech against Asian but not Chinese,Yes: verbal hate speech against Asian but not Chinese,Over 5 years,Born in the USA,An Asian country outside East/Southeast Asia,1,Necessary,Banning the hate speech creator from the relevant social media platform,Monthly
5e82a0f80e60759d6f6f2a80,No,Yes: verbal hate speech against Asian but not Chinese,1 year - 5 years,Born in the USA,"An East Asian or Southeast Asian country not mentioned above (such as Mongolia, Singapore, etc.)",0,Necessary,Banning the hate speech creator from the relevant social media platform,Weekly
5e2e7d79acf5fe45b62f859a,No,No,Over 5 years,Moved to the USA at an age between 18 and 30 years old,"An East Asian or Southeast Asian country not mentioned above (such as Mongolia, Singapore, etc.)",3 or more,Necessary,Civil damages (such as financial compensation for the victims’ mental sufferings),(Almost) never
607ce9df61f8f44b9403edfc,No,Yes: verbal hate speech against Asian but not Chinese,1 month - 1 year,Born in the USA,"Taiwan, Hong Kong, or Macau",1,Necessary,"Criminal punishment (such as community service, probation, jail time)",(Almost) always
632a385defc440ca225a32b4,Yes: online hate speech against Asian but not Chinese,Yes: verbal hate speech against Asian but not Chinese,1 month - 1 year,Born in the USA,Mainland China,0,Necessary,Deleting the hateful content (such as specific hate tweets),(Almost) never
63d2e6f27737af3af4e6fff4,Yes: online hate speech against Asian but not Chinese,Yes: verbal hate speech against Asian but not Chinese,Never,Born in the USA,"A Sinosphere country (Japan, North/South Korea, or Vietnam)",1,Necessary,Banning the hate speech creator from the relevant social media platform,Weekly
6291861f8937c6bd60637cf8,No,No,1 year - 5 years,Born in the USA,"An East Asian or Southeast Asian country not mentioned above (such as Mongolia, Singapore, etc.)",0,Unnecessary,No sanction,(Almost) never
630007a81cf7b634269e973c,Yes: online hate speech against Asian but not Chinese,Yes: verbal hate speech against Chinese,1 year - 5 years,Born in the USA,Mainland China,2,Necessary,Banning the hate speech creator from the relevant social media platform,Yearly
5d17ce93ac37cd0019535088,Yes: online hate speech against Asian but not Chinese,Yes: verbal hate speech against Chinese,Over 5 years,Moved to the USA at an age between 5 and 18 years old,Mainland China,2,Very necessary,Banning the hate speech creator from the relevant social media platform,Monthly
63619bf68269c27fa8aa56a1,No,No,Over 5 years,Moved to the USA at an age between 5 and 18 years old,"An East Asian or Southeast Asian country not mentioned above (such as Mongolia, Singapore, etc.)",1,Very necessary,Banning the hate speech creator from the relevant social media platform,(Almost) always
5ee1be444c9d75206ce5aa92,No,Yes: verbal hate speech against Asian but not Chinese,Never,Born in the USA,Mainland China,1,Necessary,Banning the hate speech creator from the relevant social media platform,Weekly
6090578fb2299eacaec32b7a,Yes: online hate speech against Asian but not Chinese,Yes: verbal hate speech against Asian but not Chinese,Never,Born in the USA,"A Sinosphere country (Japan, North/South Korea, or Vietnam)",0,Very necessary,Banning the hate speech creator from the relevant social media platform,Weekly
